epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,27.4483,0.74462,1.05716,1.18033,0.8899,0.41393,0.73888,0.43179,1.85585,1.66684,1.52135,2.82082e-05,2.82082e-05,2.82082e-05
40,28.1156,0.77596,1.09131,1.23199,0.8899,0.41393,0.73888,0.43179,1.85585,1.66684,1.52135,2.84911e-05,2.84911e-05,2.84911e-05
41,28.8036,1.00726,1.3823,1.26993,0.88616,0.41617,0.74023,0.44864,1.86088,1.67271,1.52806,2.87504e-05,2.87504e-05,2.87504e-05
42,29.4782,1.02838,1.28067,1.32046,0.88616,0.41617,0.74023,0.44864,1.86088,1.67271,1.52806,2.89861e-05,2.89861e-05,2.89861e-05
43,30.195,1.14537,1.51058,1.65271,0.88073,0.41667,0.76959,0.45327,1.86248,1.69909,1.53008,2.91983e-05,2.91983e-05,2.91983e-05
44,30.8824,0.85037,1.30697,1.22148,0.88073,0.41667,0.76959,0.45327,1.86248,1.69909,1.53008,2.93869e-05,2.93869e-05,2.93869e-05
45,31.5913,0.81113,1.53518,1.19917,0.87825,0.41667,0.76939,0.4537,1.86288,1.68785,1.52752,2.9552e-05,2.9552e-05,2.9552e-05
46,32.2804,0.97967,1.38011,1.372,0.87825,0.41667,0.76939,0.4537,1.86288,1.68785,1.52752,2.96935e-05,2.96935e-05,2.96935e-05
47,33.0023,0.90554,1.09323,1.30578,0.87617,0.41667,0.76743,0.47311,1.86576,1.70932,1.53426,2.98114e-05,2.98114e-05,2.98114e-05
48,33.6776,0.82069,1.28426,1.18853,0.87617,0.41667,0.76743,0.47311,1.86576,1.70932,1.53426,2.99058e-05,2.99058e-05,2.99058e-05
49,34.3936,1.00837,1.3198,1.45316,0.87155,0.41667,0.73091,0.46291,1.85359,1.72486,1.53143,2.99766e-05,2.99766e-05,2.99766e-05
50,35.067,0.72635,0.95469,1.17806,0.87155,0.41667,0.73091,0.46291,1.85359,1.72486,1.53143,3.00238e-05,3.00238e-05,3.00238e-05
51,35.7828,0.83344,1.21685,1.30451,0.87609,0.41667,0.75528,0.46578,1.86312,1.74716,1.54219,3.00475e-05,3.00475e-05,3.00475e-05
52,36.464,0.86344,1.96132,1.26454,0.87609,0.41667,0.75528,0.46578,1.86312,1.74716,1.54219,3.00476e-05,3.00476e-05,3.00476e-05
53,37.1383,0.69854,1.20224,1.11883,0.87609,0.41667,0.75528,0.46578,1.86312,1.74716,1.54219,3.00242e-05,3.00242e-05,3.00242e-05
54,37.8403,0.82209,1.19625,1.16385,0.87387,0.41667,0.70599,0.41804,1.88728,1.78384,1.55763,2.99772e-05,2.99772e-05,2.99772e-05
55,38.5007,0.85008,1.50136,1.30942,0.87387,0.41667,0.70599,0.41804,1.88728,1.78384,1.55763,2.99066e-05,2.99066e-05,2.99066e-05
56,39.176,0.85967,1.15442,1.33422,0.87387,0.41667,0.70599,0.41804,1.88728,1.78384,1.55763,2.98125e-05,2.98125e-05,2.98125e-05
57,39.8911,0.78744,0.80762,1.31625,0.87274,0.41667,0.69952,0.40819,1.88025,1.78564,1.54765,2.96948e-05,2.96948e-05,2.96948e-05
58,40.5653,1.16155,1.78126,1.42497,0.87274,0.41667,0.69952,0.40819,1.88025,1.78564,1.54765,2.95535e-05,2.95535e-05,2.95535e-05
59,41.2466,0.73696,0.94257,1.26016,0.87274,0.41667,0.69952,0.40819,1.88025,1.78564,1.54765,2.93887e-05,2.93887e-05,2.93887e-05
60,41.9765,0.85648,1.19099,1.31186,0.87447,0.41667,0.70245,0.40313,1.86474,1.80185,1.53823,2.92003e-05,2.92003e-05,2.92003e-05
61,42.6716,0.7604,0.99176,1.19721,0.87447,0.41667,0.70245,0.40313,1.86474,1.80185,1.53823,2.89884e-05,2.89884e-05,2.89884e-05
62,43.3746,0.92206,1.21014,1.34149,0.87447,0.41667,0.70245,0.40313,1.86474,1.80185,1.53823,2.87529e-05,2.87529e-05,2.87529e-05
63,44.0966,0.70033,0.9879,1.22581,0.87244,0.41667,0.70237,0.41054,1.86981,1.79286,1.53829,2.84938e-05,2.84938e-05,2.84938e-05
64,44.7788,0.86825,1.02888,1.18622,0.87244,0.41667,0.70237,0.41054,1.86981,1.79286,1.53829,2.82112e-05,2.82112e-05,2.82112e-05
65,45.459,0.71708,0.89568,1.13951,0.87244,0.41667,0.70237,0.41054,1.86981,1.79286,1.53829,2.7905e-05,2.7905e-05,2.7905e-05
