epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,68.1295,0.63052,1.18322,1.07751,0.8966,0.40975,0.81197,0.50252,1.86141,1.67343,1.50686,2.82082e-05,2.82082e-05,2.82082e-05
40,69.8257,0.96453,0.96135,1.25588,0.8966,0.40975,0.81197,0.50252,1.86141,1.67343,1.50686,2.84911e-05,2.84911e-05,2.84911e-05
41,71.6751,0.67619,0.85047,1.03353,0.89392,0.41017,0.72991,0.42821,1.86479,1.70923,1.51617,2.87504e-05,2.87504e-05,2.87504e-05
42,73.323,0.94289,1.71805,1.35868,0.89392,0.41017,0.72991,0.42821,1.86479,1.70923,1.51617,2.89861e-05,2.89861e-05,2.89861e-05
43,75.0327,0.94229,1.42394,1.28702,0.89103,0.41049,0.65157,0.3988,1.85714,1.74562,1.52635,2.91983e-05,2.91983e-05,2.91983e-05
44,76.7006,1.15898,1.187,1.4962,0.89103,0.41049,0.65157,0.3988,1.85714,1.74562,1.52635,2.93869e-05,2.93869e-05,2.93869e-05
45,78.4525,0.70195,1.06191,1.09007,0.88818,0.41124,0.63284,0.40481,1.8685,1.75187,1.53391,2.9552e-05,2.9552e-05,2.9552e-05
46,80.1383,0.83026,1.12077,1.31517,0.88818,0.41124,0.63284,0.40481,1.8685,1.75187,1.53391,2.96935e-05,2.96935e-05,2.96935e-05
47,81.8186,0.8736,1.96838,1.29819,0.8853,0.41292,0.7233,0.46487,1.87029,1.75417,1.53855,2.98114e-05,2.98114e-05,2.98114e-05
48,83.4568,0.91986,1.68243,1.296,0.8853,0.41292,0.7233,0.46487,1.87029,1.75417,1.53855,2.99058e-05,2.99058e-05,2.99058e-05
49,85.154,0.7629,1.00884,1.30026,0.88259,0.41513,0.69593,0.43778,1.86576,1.75402,1.5422,2.99766e-05,2.99766e-05,2.99766e-05
50,86.7798,0.8846,1.00417,1.31449,0.88259,0.41513,0.69593,0.43778,1.86576,1.75402,1.5422,3.00238e-05,3.00238e-05,3.00238e-05
51,88.5154,0.90529,1.00129,1.20579,0.88099,0.41603,0.69548,0.44074,1.85449,1.74384,1.54387,3.00475e-05,3.00475e-05,3.00475e-05
52,90.275,1.09091,1.03676,1.43915,0.88099,0.41603,0.69548,0.44074,1.85449,1.74384,1.54387,3.00476e-05,3.00476e-05,3.00476e-05
53,91.9238,0.60452,0.81861,1.17066,0.88099,0.41603,0.69548,0.44074,1.85449,1.74384,1.54387,3.00242e-05,3.00242e-05,3.00242e-05
54,93.6629,0.84071,0.99735,1.29094,0.87565,0.41667,0.6987,0.41525,1.8466,1.74341,1.53107,2.99772e-05,2.99772e-05,2.99772e-05
55,95.3248,0.73261,1.0394,1.07858,0.87565,0.41667,0.6987,0.41525,1.8466,1.74341,1.53107,2.99066e-05,2.99066e-05,2.99066e-05
56,96.9536,1.18187,2.0997,1.68582,0.87565,0.41667,0.6987,0.41525,1.8466,1.74341,1.53107,2.98125e-05,2.98125e-05,2.98125e-05
